Cust ID,Comment,Comment - Split 1,Comment - Split 2,Comment - Split 3,Comment - Split 4,Comment - Split 5,Comment - Split 6,Comment - Split 7,Comment - Split 8,Comment - Split 9,Comment - Split 10,Target,Service flag,CustType flag,Contact flag,New Flag,Choice flag,Loyal Status,Comp card flag,AcctType flag,Contact Flag2,HQ flag,Multi flag,NewCust Flag
287,many around                                                                                                                                                                                                                                                                                                 .easy                                                                                                                                                                                                                                                                                                        .long lines                                                                                                                                                                                                                                                                                                  .hard to use,many,around,,,,,,,,,1,2,1,1,2,1,1,0,0,0,0,0,0
288,close to ?                                                                                                                                                                                                                                                                                                  .only place I buy productx                                                                                                                                                                                                                                                                                   .run down                                                                                                                                                                                                                                                                                                    .not enough points,close,to,?,,,,,,,,1,2,1,1,2,1,1,0,0,0,0,0,0
289,only compy                                                                                                                                                                                                                                                                                                  .only productx compys                                                                                                                                                                                                                                                                                        .food                                                                                                                                                                                                                                                                                                        .it’s a compT,only,compy,,,,,,,,,0,2,1,2,2,2,1,0,0,0,0,0,0
29,free showers and good service                                                                                                                                                                                                                                                                               .platinum program                                                                                                                                                                                                                                                                                            .bad service                                                                                                                                                                                                                                                                                                 .points lost,free,showers,and,good,service,,,,,,1,1,1,1,1,1,1,0,0,0,0,0,0
290,friendlier people                                                                                                                                                                                                                                                                                           .the points and showers                                                                                                                                                                                                                                                                                      .bad showers                                                                                                                                                                                                                                                                                                 .have had problems getting all my points,friendlier,people,,,,,,,,,1,2,1,1,2,2,3,0,0,0,0,0,0
291,buffet restraunt                                                                                                                                                                                                                                                                                            .some months are double points added for productx purchase                                                                                                                                                                                                                                                   .no discount on productx purchase                                                                                                                                                                                                                                                                            .cause all you receive is coupons by mail,buffet,restraunt,,,,,,,,,0,1,1,1,2,2,1,0,0,0,0,0,0
292,free coffee                                                                                                                                                                                                                                                                                                 .double points                                                                                                                                                                                                                                                                                               .coffee too high                                                                                                                                                                                                                                                                                             .have to get coupon,free,coffee,,,,,,,,,1,2,1,2,2,2,1,0,0,0,0,0,0
293,"plenty of parking and full service restaurants and truck services and free coffee                                                                                                                                                                                                                           .showers never expire, double points for shop work free faxes and copies                                                                                                                                                                                                                                     .tight, rude people, filthy restrooms                                                                                                                                                                                                                                                                        .showers expire",plenty,of,parking,and,full,service,restaurants,and,truck,services,0,2,2,1,1,1,3,0,0,0,0,0,0
294,shower                                                                                                                                                                                                                                                                                                      .shower                                                                                                                                                                                                                                                                                                      .                                                                                                                                                                                                                                                                                                            .,shower,,,,,,,,,,0,2,1,2,2,2,2,0,0,0,0,0,0
295,ULSD productx almost all shopstops have                                                                                                                                                                                                                                                                     .reward points.  Unlimited drinks.  Unlimited showers                                                                                                                                                                                                                                                        .most compys are hard to get in and out off and no parking                                                                                                                                                                                                                                                   .have to wait for coupons cant use coupon in store,ULSD,productx,almost,all,shopstops,have,,,,,1,2,1,1,1,1,1,0,0,0,0,0,0
297,parking                                                                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .compy no space to park                                                                                                                                                                                                                                                                                      .,parking,,,,,,,,,,0,1,2,2,2,1,1,0,0,0,0,0,0
299,points and showers                                                                                                                                                                                                                                                                                          .unlimited drinks and showers                                                                                                                                                                                                                                                                                .attitude of employees                                                                                                                                                                                                                                                                                       .all of it,points,and,showers,,,,,,,,1,1,2,2,2,1,1,0,0,0,0,0,0
3,free coffee                                                                                                                                                                                                                                                                                                 .can used at shop as well                                                                                                                                                                                                                                                                                    .hard to get in and out at times                                                                                                                                                                                                                                                                             .just used at that rest at land,free,coffee,,,,,,,,,0,2,2,1,2,1,3,0,0,0,0,0,0
30,cleanliness and product selection                                                                                                                                                                                                                                                                           .showers                                                                                                                                                                                                                                                                                                     .high prices                                                                                                                                                                                                                                                                                                 .,cleanliness,and,product,selection,,,,,,,0,1,2,1,2,1,3,0,0,0,0,0,0
300,productxing convenience                                                                                                                                                                                                                                                                                     .merchandise purchasing                                                                                                                                                                                                                                                                                      .no loyalty card                                                                                                                                                                                                                                                                                             .competitor compx - cant use card instantly,productxing,convenience,,,,,,,,,1,1,1,2,2,1,1,0,0,0,0,0,0
301,"sit down restraunt, parking                                                                                                                                                                                                                                                                                 .24 times points                                                                                                                                                                                                                                                                                             .comdata and merger with compy                                                                                                                                                                                                                                                                               .I never get any points",sit,down,"restraunt,",parking,,,,,,,0,2,2,1,2,1,1,0,0,0,0,0,0
303,.ease of cashing in points for store and restaurant                                                                                                                                                                                                                                                          .                                                                                                                                                                                                                                                                                                            .have to wait for points to be mailed to you,.ease,of,cashing,in,points,for,store,and,restaurant,,0,2,2,1,2,2,1,0,0,0,0,0,0
304,"price, local, clean                                                                                                                                                                                                                                                                                         .unlimited showers for purchases                                                                                                                                                                                                                                                                             .dirty, slow                                                                                                                                                                                                                                                                                                 .showers expire in 72 hours","price,","local,",clean,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
307,not walking in to pay for productx                                                                                                                                                                                                                                                                          .easy to use                                                                                                                                                                                                                                                                                                 .dirty                                                                                                                                                                                                                                                                                                       .not enough points,not,walking,in,to,pay,for,productx,,,,1,1,1,2,2,1,1,0,0,0,0,0,0
308,price                                                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .price                                                                                                                                                                                                                                                                                                       .,price,,,,,,,,,,0,2,1,1,2,1,1,0,0,0,0,0,0
309,cheaper productx we like the coffee                                                                                                                                                                                                                                                                         .platinum service for showers and coffee                                                                                                                                                                                                                                                                     .                                                                                                                                                                                                                                                                                                            .,cheaper,productx,we,like,the,coffee,,,,,1,1,1,1,2,2,1,0,0,1,0,0,0
310,"good prices, easy access                                                                                                                                                                                                                                                                                    .showers and free drinks                                                                                                                                                                                                                                                                                     .high prices                                                                                                                                                                                                                                                                                                 .",good,"prices,",easy,access,,,,,,,1,1,2,2,2,1,1,0,0,0,0,0,0
311,cleaner and faster                                                                                                                                                                                                                                                                                          .more benefits                                                                                                                                                                                                                                                                                               .dirty                                                                                                                                                                                                                                                                                                       .no points values,cleaner,and,faster,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
312,1. cash price for productx.  2. more showers.  3. restaurant                                                                                                                                                                                                                                                .points on all transactions with card                                                                                                                                                                                                                                                                        .bad experience                                                                                                                                                                                                                                                                                              .,1,cash,price,for,productx.,,2,more,showers.,,0,2,2,2,2,1,3,0,0,0,0,0,0
313,showers - chesters chicken                                                                                                                                                                                                                                                                                  .                                                                                                                                                                                                                                                                                                            .parking                                                                                                                                                                                                                                                                                                     .,showers,-,chesters,chicken,,,,,,,0,1,2,1,2,1,1,0,0,0,0,0,0
314,it just is                                                                                                                                                                                                                                                                                                  .it just is                                                                                                                                                                                                                                                                                                  .it don’t                                                                                                                                                                                                                                                                                                    .it not,it,just,is,,,,,,,,1,1,1,1,2,1,1,0,0,0,0,0,0
315,fast                                                                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .people                                                                                                                                                                                                                                                                                                      .,fast,,,,,,,,,,1,2,1,2,2,1,1,0,0,0,0,0,0
316,convenience                                                                                                                                                                                                                                                                                                 .all /every thing in store/not food compx                                                                                                                                                                                                                                                                    .compx                                                                                                                                                                                                                                                                                                       .food only,convenience,,,,,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
317,clean facilities - showers                                                                                                                                                                                                                                                                                  .                                                                                                                                                                                                                                                                                                            .dirty stores - indifferent attendants                                                                                                                                                                                                                                                                       .,clean,facilities,-,showers,,,,,,,0,2,1,1,2,1,3,0,0,0,0,0,0
319,it just seems to come up when I need productx                                                                                                                                                                                                                                                               .coupons for food and accessories                                                                                                                                                                                                                                                                            .convenience                                                                                                                                                                                                                                                                                                 .cant use points except online,it,just,seems,to,come,up,when,I,need,productx,0,1,2,1,2,1,3,0,0,0,0,0,0
32,clean                                                                                                                                                                                                                                                                                                       .points                                                                                                                                                                                                                                                                                                      .dirty                                                                                                                                                                                                                                                                                                       .less points,clean,,,,,,,,,,1,2,2,2,2,1,2,0,0,0,0,0,0
322,showers                                                                                                                                                                                                                                                                                                     .on any product                                                                                                                                                                                                                                                                                              .no comdata cards                                                                                                                                                                                                                                                                                            .send in,showers,,,,,,,,,,1,2,1,2,2,1,1,0,0,0,0,0,0
323,"give me points and free refills on mug and give discount on comdata and no fee                                                                                                                                                                                                                              .they also put drink on card so if I productx at night I can get shower at night and coffee in the morning                                                                                                                                                                                                   .most expensive productx                                                                                                                                                                                                                                                                                     .got a get a coupon for $5 then use all at once, point expire",give,me,points,and,free,refills,on,mug,and,give,1,2,2,1,2,1,1,0,0,0,0,0,0
324,handy easy access                                                                                                                                                                                                                                                                                           .you can cash in without hassel                                                                                                                                                                                                                                                                              .hard to get in higher prices                                                                                                                                                                                                                                                                                .you have to run them through a machine then get a coupon a carry it back and go through 2 or 3 other things to get it cashed in,handy,easy,access,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
325,food parking                                                                                                                                                                                                                                                                                                .food credit                                                                                                                                                                                                                                                                                                 .poor parking                                                                                                                                                                                                                                                                                                .,food,parking,,,,,,,,,0,2,1,2,2,2,1,0,0,0,0,0,0
326,parking                                                                                                                                                                                                                                                                                                     .on the card                                                                                                                                                                                                                                                                                                 .                                                                                                                                                                                                                                                                                                            .,parking,,,,,,,,,,0,2,2,1,2,1,1,0,0,0,0,0,0
327,showers and parking                                                                                                                                                                                                                                                                                         .you can buy anything but tobacco                                                                                                                                                                                                                                                                            .they don’t take comdata restaurants arent very good                                                                                                                                                                                                                                                         .,showers,and,parking,,,,,,,,0,1,2,1,2,1,1,0,0,0,0,0,0
328,easy in and out good showers                                                                                                                                                                                                                                                                                .lots of locations                                                                                                                                                                                                                                                                                           .too much hassel                                                                                                                                                                                                                                                                                             .,easy,in,and,out,good,showers,,,,,1,2,2,2,2,1,3,0,0,0,0,0,0
329,convenience                                                                                                                                                                                                                                                                                                 .point turn to novel                                                                                                                                                                                                                                                                                         .no good service                                                                                                                                                                                                                                                                                             .don’t have,convenience,,,,,,,,,,1,2,2,2,2,1,1,0,0,0,0,0,0
33,better mileage                                                                                                                                                                                                                                                                                              .points                                                                                                                                                                                                                                                                                                      .parking                                                                                                                                                                                                                                                                                                     .hard to collect points,better,mileage,,,,,,,,,1,2,1,1,2,2,1,0,0,1,0,0,1
333,people                                                                                                                                                                                                                                                                                                      .1000 quantp unlimited showers                                                                                                                                                                                                                                                                               .people                                                                                                                                                                                                                                                                                                      .send out coupons,people,,,,,,,,,,1,1,2,1,2,1,1,0,0,0,0,0,0
334,more locations                                                                                                                                                                                                                                                                                              .eat with card                                                                                                                                                                                                                                                                                               .less avaliability                                                                                                                                                                                                                                                                                           .,more,locations,,,,,,,,,0,2,2,1,1,1,1,0,0,0,0,0,0
335,fast and comfortable easy way                                                                                                                                                                                                                                                                               .point                                                                                                                                                                                                                                                                                                       .                                                                                                                                                                                                                                                                                                            .,fast,and,comfortable,easy,way,,,,,,1,1,2,1,2,2,1,0,0,1,0,0,1
336,"restaurant, refills on soda, showers                                                                                                                                                                                                                                                                        .unlimited showers and refills                                                                                                                                                                                                                                                                               .rude people                                                                                                                                                                                                                                                                                                 .cause you have get the paper certificats to buy anything","restaurant,",refills,on,"soda,",showers,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
337,restaurant                                                                                                                                                                                                                                                                                                  .easy to use get benefits right away                                                                                                                                                                                                                                                                         .they are a**holes                                                                                                                                                                                                                                                                                           .mail your point rewards,restaurant,,,,,,,,,,0,1,2,1,2,1,1,0,0,0,0,0,0
34,clean nice showers                                                                                                                                                                                                                                                                                          .gives me a lot of points as far as im concerned                                                                                                                                                                                                                                                             .just don’t prefer compTRO                                                                                                                                                                                                                                                                                   .they don’t give much for the money I spend,clean,nice,showers,,,,,,,,0,1,2,1,2,1,3,0,0,0,0,0,0
340,.1 cent discount                                                                                                                                                                                                                                                                                             .bad food pricing of productx                                                                                                                                                                                                                                                                                .,0.1,cent,discount,,,,,,,,0,2,1,1,2,1,3,0,0,0,0,0,0
